timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681032662343,173,Przyprawy-0,301,Moved Permanently,Stress test 1-21,text,true,,1474,211,31,31,http://www.policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,173,0,71
1681032662516,117,Przyprawy-1,200,OK,Stress test 1-21,text,true,,267582,207,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,79,0,25
1681032662657,221,Trzecia patelnia,200,OK,Stress test 1-51,text,true,,277558,400,31,31,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,122,0,0
1681032662657,122,Trzecia patelnia-0,301,Moved Permanently,Stress test 1-51,text,true,,1469,202,31,31,http://www.policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,122,0,0
1681032662779,99,Trzecia patelnia-1,200,OK,Stress test 1-51,text,true,,276089,198,31,31,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,58,0,0
1681032662912,296,Przyprawy,200,OK,Stress test 1-26,text,true,,269056,418,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,169,0,66
1681032662912,169,Przyprawy-0,301,Moved Permanently,Stress test 1-26,text,true,,1482,211,31,31,http://www.policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,169,0,66
1681032663081,127,Przyprawy-1,200,OK,Stress test 1-26,text,true,,267574,207,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,85,0,25
1681032663877,291,Przyprawy,200,OK,Stress test 1-25,text,true,,269062,418,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,170,0,65
1681032663877,170,Przyprawy-0,301,Moved Permanently,Stress test 1-25,text,true,,1481,211,31,31,http://www.policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,170,0,65
1681032664047,121,Przyprawy-1,200,OK,Stress test 1-25,text,true,,267581,207,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,82,0,26
1681032666496,290,Przyprawy,200,OK,Stress test 1-30,text,true,,269054,418,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,169,0,66
1681032666496,169,Przyprawy-0,301,Moved Permanently,Stress test 1-30,text,true,,1485,211,31,31,http://www.policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,169,0,66
1681032666665,121,Przyprawy-1,200,OK,Stress test 1-30,text,true,,267569,207,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,82,0,22
1681032666574,292,Przyprawy,200,OK,Stress test 1-27,text,true,,269051,418,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,168,0,66
1681032666574,168,Przyprawy-0,301,Moved Permanently,Stress test 1-27,text,true,,1475,211,31,31,http://www.policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,168,0,66
1681032666742,124,Przyprawy-1,200,OK,Stress test 1-27,text,true,,267576,207,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,83,0,27
1681032667124,313,Przyprawy,200,OK,Stress test 1-28,text,true,,269050,418,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,181,0,74
1681032667124,181,Przyprawy-0,301,Moved Permanently,Stress test 1-28,text,true,,1473,211,31,31,http://www.policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,181,0,74
1681032667305,132,Przyprawy-1,200,OK,Stress test 1-28,text,true,,267577,207,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,92,0,28
1681032668252,200,Przyprawy,200,OK,Stress test 1-33,text,true,,269053,418,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,103,0,0
1681032668252,103,Przyprawy-0,301,Moved Permanently,Stress test 1-33,text,true,,1475,211,31,31,http://www.policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,103,0,0
1681032668355,97,Przyprawy-1,200,OK,Stress test 1-33,text,true,,267578,207,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,57,0,0
1681032669073,215,Trzecia patelnia,200,OK,Stress test 1-59,text,true,,277570,400,31,31,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,116,0,0
1681032669073,116,Trzecia patelnia-0,301,Moved Permanently,Stress test 1-59,text,true,,1469,202,31,31,http://www.policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,116,0,0
1681032669189,99,Trzecia patelnia-1,200,OK,Stress test 1-59,text,true,,276101,198,31,31,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,61,0,0
1681032669239,208,Trzecia patelnia,200,OK,Stress test 1-62,text,true,,277566,400,31,31,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,113,0,0
1681032669239,113,Trzecia patelnia-0,301,Moved Permanently,Stress test 1-62,text,true,,1464,202,31,31,http://www.policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,113,0,0
1681032669352,95,Trzecia patelnia-1,200,OK,Stress test 1-62,text,true,,276102,198,31,31,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,57,0,0
1681032669443,294,Przyprawy,200,OK,Stress test 1-29,text,true,,269055,418,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,171,0,69
1681032669443,171,Przyprawy-0,301,Moved Permanently,Stress test 1-29,text,true,,1484,211,31,31,http://www.policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,171,0,69
1681032669614,123,Przyprawy-1,200,OK,Stress test 1-29,text,true,,267571,207,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,85,0,27
1681032674958,211,Trzecia patelnia,200,OK,Stress test 1-67,text,true,,277571,400,31,31,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,106,0,0
1681032674958,106,Trzecia patelnia-0,301,Moved Permanently,Stress test 1-67,text,true,,1463,202,31,31,http://www.policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,106,0,0
1681032675064,105,Trzecia patelnia-1,200,OK,Stress test 1-67,text,true,,276108,198,31,31,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,66,0,0
